Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,Num KO
PINSIR,65,125,100,55,70,85,BUG,,0,18344334,54.92215568862275
TAUROS,75,100,95,40,70,110,NORMAL,,0,18063354,51.02542372881356
MAGIKARP,20,10,55,15,20,80,WATER,,0,26942244,110.41803278688525
GYARADOS,95,125,79,60,100,81,WATER,FLYING,0,16313394,41.40355329949239
LAPRAS,130,85,80,85,95,60,WATER,ICE,0,19747464,42.55818965517241
DITTO,48,48,48,48,48,48,NORMAL,,0,24481300,81.60333333333334
EEVEE,55,55,50,45,65,55,NORMAL,,0,22670314,72.19745222929936
VAPOREON,130,65,60,110,95,65,WATER,,0,18952464,40.8448275862069
JOLTEON,65,65,60,110,95,130,ELECTRIC,,0,18259334,54.66766467065868
FLAREON,65,130,60,95,110,65,FIRE,,0,18006334,53.91017964071856
PORYGON,65,60,70,85,75,40,NORMAL,,0,19729334,59.0688622754491
OMANYTE,35,40,100,90,55,35,ROCK,WATER,0,21788274,79.51824817518248
OMASTAR,70,60,125,115,70,55,ROCK,WATER,0,18901344,54.94476744186046
KABUTO,30,80,90,55,45,55,ROCK,WATER,0,23700264,89.77272727272727
KABUTOPS,60,115,105,65,70,80,ROCK,WATER,0,20019324,61.78703703703704
AERODACTYL,80,105,65,60,75,130,ROCK,FLYING,0,19248364,52.879120879120876
SNORLAX,160,110,65,65,110,30,NORMAL,,0,18461524,35.23091603053435
ARTICUNO,90,85,100,95,125,85,ICE,FLYING,0,16705384,43.502604166666664
ZAPDOS,90,90,85,125,90,100,ELECTRIC,FLYING,0,14828384,38.614583333333336
MOLTRES,90,100,90,125,85,90,FIRE,FLYING,0,16339384,42.549479166666664
DRATINI,41,64,45,50,50,50,DRAGON,,0,22777286,79.63986013986013
DRAGONAIR,61,84,65,70,70,70,DRAGON,,0,18929326,58.06441717791411
DRAGONITE,91,134,95,100,100,80,DRAGON,FLYING,0,15173386,39.30829015544042
MEWTWO,106,110,90,154,90,130,PSYCHIC,,0,17695416,42.53605769230769
MEW,100,100,100,100,100,100,PSYCHIC,,27881268,16487404,40.80940594059406
CHIKORITA,45,49,65,49,65,45,GRASS,,0,22852294,77.72789115646259
BAYLEEF,60,62,80,63,80,60,GRASS,,0,20260324,62.53086419753087
MEGANIUM,80,82,100,83,100,80,GRASS,,0,17633364,48.44230769230769
CYNDAQUIL,39,52,43,60,50,65,FIRE,,0,23766282,84.27659574468085
QUILAVA,58,64,58,80,65,80,FIRE,,0,20586320,64.33125
TYPHLOSION,78,84,78,109,85,100,FIRE,,0,17501360,48.61388888888889
TOTODILE,50,65,64,44,48,43,WATER,,0,21831304,71.8125
CROCONAW,65,80,80,59,63,58,WATER,,0,19069334,57.09281437125748
FERALIGATR,85,105,100,79,83,78,WATER,,0,16433374,43.93850267379679
SENTRET,35,46,34,35,45,20,NORMAL,,0,27140274,99.05109489051095
FURRET,85,76,64,45,55,90,NORMAL,,0,21848374,58.41711229946524
HOOTHOOT,60,30,30,36,56,50,NORMAL,FLYING,0,25042324,77.29012345679013
NOCTOWL,100,50,50,86,96,70,NORMAL,FLYING,0,19398404,48.01485148514851
LEDYBA,40,20,30,40,80,55,BUG,FLYING,0,26777284,94.28521126760563
LEDIAN,55,35,50,85,110,85,BUG,FLYING,0,21604314,68.80254777070064
SPINARAK,40,60,40,40,40,30,BUG,POISON,0,27310284,96.16197183098592
ARIADOS,70,90,70,60,70,40,BUG,POISON,0,20566344,59.78488372093023
CROBAT,85,90,80,70,80,130,POISON,FLYING,0,17114374,45.75935828877005
CHINCHOU,75,38,38,56,56,67,WATER,ELECTRIC,0,23464354,66.28248587570621
LANTURN,125,58,58,76,76,67,WATER,ELECTRIC,0,19442454,42.82378854625551
PICHU,20,40,15,35,35,60,ELECTRIC,,0,30806244,126.25409836065573
CLEFFA,50,25,28,45,55,15,FAIRY,,0,24736304,81.36842105263158
IGGLYBUFF,90,30,15,40,20,15,NORMAL,FAIRY,0,32680384,85.10416666666667
TOGEPI,35,20,65,40,65,20,FAIRY,,0,18983274,69.28102189781022
TOGETIC,55,40,85,80,105,40,FAIRY,FLYING,0,15353314,48.894904458598724
NATU,40,50,45,70,45,70,PSYCHIC,FLYING,0,24843284,87.47535211267606
XATU,65,75,70,95,70,95,PSYCHIC,FLYING,0,19762334,59.16766467065868
MAREEP,55,40,40,65,45,35,ELECTRIC,,0,24288314,77.35031847133757
FLAAFFY,70,55,55,80,60,45,ELECTRIC,,0,20943344,60.88081395348837
AMPHAROS,90,75,85,115,90,55,ELECTRIC,,0,16428384,42.78125
BELLOSSOM,75,80,95,90,100,50,GRASS,,0,17962354,50.740112994350284
MARILL,70,20,50,20,50,40,WATER,FAIRY,0,21571344,62.70639534883721
AZUMARILL,100,50,80,60,80,50,WATER,FAIRY,0,16652404,41.21782178217822
SUDOWOODO,70,100,115,30,65,30,ROCK,,0,19004344,55.24418604651163
POLITOED,90,75,75,90,100,70,WATER,,0,17318384,45.098958333333336
HOPPIP,35,35,40,35,55,50,GRASS,FLYING,0,27210274,99.30656934306569
SKIPLOOM,55,45,50,45,65,80,GRASS,FLYING,0,24612314,78.38216560509554
JUMPLUFF,75,55,70,55,95,110,GRASS,FLYING,0,20205354,57.07627118644068
AIPOM,55,70,55,40,55,85,NORMAL,,0,22931314,73.02866242038216
SUNKERN,30,30,30,30,30,30,GRASS,,0,32733264,123.98863636363636
SUNFLORA,75,75,55,105,85,30,GRASS,,0,22725354,64.19491525423729
YANMA,65,65,45,75,45,95,BUG,FLYING,0,27425334,82.11077844311377
WOOPER,55,45,45,25,25,15,WATER,GROUND,0,29342314,93.44585987261146
QUAGSIRE,95,85,85,65,65,35,WATER,GROUND,0,19992394,50.74111675126903
ESPEON,65,65,60,130,95,110,PSYCHIC,,0,20135334,60.28443113772455
UMBREON,95,65,110,60,130,65,DARK,,0,14390394,36.52284263959391
MURKROW,60,85,42,85,42,91,DARK,FLYING,0,23703324,73.1574074074074
SLOWKING,95,75,80,100,110,30,WATER,PSYCHIC,0,17656394,44.81218274111675
MISDREAVUS,60,60,60,85,85,85,GHOST,,0,15516324,47.888888888888886
UNOWN,48,72,48,72,48,48,PSYCHIC,,0,25040300,83.46666666666667
WOBBUFFET,190,33,58,33,58,33,PSYCHIC,,0,22752584,38.95890410958904
GIRAFARIG,70,80,65,90,65,85,NORMAL,PSYCHIC,0,20982344,60.99418604651163
PINECO,50,65,90,35,35,15,BUG,,0,22735304,74.78618421052632
FORRETRESS,75,90,140,60,60,40,BUG,STEEL,0,15239354,43.048022598870055
DUNSPARCE,100,70,70,65,65,45,NORMAL,,0,20407404,50.51237623762376
GLIGAR,65,75,105,35,65,85,GROUND,FLYING,0,17436334,52.203592814371255
STEELIX,75,85,200,55,65,30,STEEL,GROUND,0,13161354,37.17796610169491
SNUBBULL,60,80,50,40,40,30,FAIRY,,0,22912324,70.71604938271605
GRANBULL,90,120,75,60,60,45,FAIRY,,0,18572384,48.364583333333336
QWILFISH,65,95,85,55,55,85,WATER,POISON,0,18476334,55.31736526946108
SCIZOR,70,130,100,55,80,65,BUG,STEEL,0,15357344,44.64244186046512
SHUCKLE,20,10,230,10,230,5,BUG,ROCK,0,8830244,36.18852459016394
HERACROSS,80,125,75,40,95,85,BUG,FIGHTING,0,20499364,56.315934065934066
SNEASEL,55,95,55,35,75,115,DARK,ICE,0,27024314,86.06369426751593
TEDDIURSA,60,80,50,50,50,40,NORMAL,,0,23970324,73.98148148148148
URSARING,90,130,75,75,75,55,NORMAL,,0,19249384,50.127604166666664
SLUGMA,40,40,40,70,40,20,FIRE,,0,25357284,89.28521126760563
MAGCARGO,60,50,120,90,80,30,FIRE,ROCK,0,18693324,57.69444444444444
SWINUB,50,50,40,30,30,50,ICE,GROUND,0,34180304,112.4342105263158
PILOSWINE,100,100,80,60,60,50,ICE,GROUND,0,24316404,60.18811881188119
CORSOLA,65,55,95,65,95,35,WATER,ROCK,0,18966334,56.78443113772455
REMORAID,35,65,35,65,35,65,WATER,,0,27280274,99.56204379562044
OCTILLERY,75,105,75,105,75,45,WATER,,0,18641354,52.65819209039548
DELIBIRD,45,55,45,65,45,75,ICE,FLYING,0,27953294,95.078231292517
MANTINE,85,40,70,80,140,70,WATER,FLYING,0,15596374,41.70053475935829
SKARMORY,65,80,140,40,70,70,STEEL,FLYING,0,11763334,35.2185628742515
HOUNDOUR,45,60,30,80,50,65,DARK,FIRE,0,26169294,89.01020408163265
HOUNDOOM,75,90,50,110,80,95,DARK,FIRE,0,20710354,58.50282485875706
KINGDRA,75,95,95,95,95,85,WATER,DRAGON,0,14820354,41.86440677966102
PHANPY,90,60,60,40,40,40,GROUND,,0,25350384,66.015625
DONPHAN,90,120,120,60,60,50,GROUND,,0,18636384,48.53125
PORYGON2,85,80,90,105,95,60,NORMAL,,0,17018374,45.50267379679144
STANTLER,73,95,62,85,65,85,NORMAL,,0,21213350,60.60857142857143
SMEARGLE,55,20,35,20,45,75,NORMAL,,0,26944314,85.80891719745223
TYROGUE,35,35,35,35,35,35,FIGHTING,,0,29129274,106.31021897810218
HITMONTOP,50,95,95,35,110,70,FIGHTING,,0,16464304,54.1578947368421
SMOOCHUM,45,30,15,85,65,65,ICE,PSYCHIC,0,35634294,121.20408163265306
ELEKID,45,63,37,65,55,95,ELECTRIC,,0,23823294,81.03061224489795
MAGBY,45,75,37,70,55,83,FIRE,,0,24312294,82.6938775510204
MILTANK,95,80,105,40,70,100,NORMAL,,0,17452394,44.29441624365482
BLISSEY,255,10,10,75,135,55,NORMAL,,0,28657714,40.135854341736696
RAIKOU,90,85,75,115,100,115,ELECTRIC,,0,16685384,43.450520833333336
ENTEI,115,115,85,90,75,100,FIRE,,0,17562434,40.465437788018434
SUICUNE,100,75,115,90,115,85,WATER,,0,14188404,35.118811881188115
LARVITAR,50,64,50,45,50,41,ROCK,GROUND,0,32145304,105.74013157894737
PUPITAR,70,84,70,65,70,51,ROCK,GROUND,0,26908344,78.22093023255815
TYRANITAR,100,134,110,95,100,61,ROCK,DARK,0,18630404,46.113861386138616
LUGIA,106,90,130,90,154,110,PSYCHIC,FLYING,0,12567416,30.209134615384617
HOOH,106,130,90,110,154,90,FIRE,FLYING,0,13807416,33.18990384615385
CELEBI,100,100,100,100,100,100,PSYCHIC,GRASS,0,19593404,48.49752475247525
TREECKO,40,45,35,65,55,70,GRASS,,0,28364284,99.87323943661971
GROVYLE,50,65,45,85,65,95,GRASS,,0,25571304,84.11513157894737
SCEPTILE,70,85,65,105,85,120,GRASS,,0,21445344,62.34011627906977
TORCHIC,45,60,40,70,50,45,FIRE,,0,24257294,82.50680272108843
COMBUSKEN,60,85,60,85,60,55,FIRE,FIGHTING,0,22099324,68.20679012345678
BLAZIKEN,80,120,70,110,70,80,FIRE,FIGHTING,0,20317364,55.815934065934066
MUDKIP,50,70,50,50,50,40,WATER,,0,23217304,76.3717105263158
MARSHTOMP,70,85,70,60,70,50,WATER,GROUND,0,20912344,60.7906976744186
SWAMPERT,100,110,90,85,90,60,WATER,GROUND,0,18004404,44.56435643564357
POOCHYENA,35,55,35,30,30,35,DARK,,0,28854274,105.30656934306569
MIGHTYENA,70,90,70,60,60,70,DARK,,0,20783344,60.4156976744186
ZIGZAGOON,38,30,41,30,41,60,NORMAL,,0,26347280,94.09642857142858
LINOONE,78,70,61,50,61,100,NORMAL,,0,21632360,60.08888888888889
WURMPLE,45,45,35,20,30,20,BUG,,0,29702294,101.02721088435374
SILCOON,50,35,55,25,25,15,BUG,,0,27644304,90.9342105263158
BEAUTIFLY,60,70,50,100,50,65,BUG,FLYING,0,26055324,80.41666666666667
CASCOON,50,35,55,25,25,15,BUG,,0,27644304,90.9342105263158
DUSTOX,60,50,70,50,90,65,BUG,POISON,0,19241324,59.385802469135804
LOTAD,40,30,30,40,50,30,WATER,GRASS,0,27668284,97.4225352112676
LOMBRE,60,50,50,60,70,50,WATER,GRASS,0,22535324,69.55246913580247
LUDICOLO,80,70,70,90,100,70,WATER,GRASS,0,18585364,51.05769230769231
SEEDOT,40,40,50,30,30,30,GRASS,,0,29031284,102.22183098591549
NUZLEAF,70,70,40,60,40,60,GRASS,DARK,0,31749344,92.2936046511628
SHIFTRY,90,100,60,90,60,80,GRASS,DARK,0,26026384,67.77604166666667
TAILLOW,40,55,30,30,30,85,NORMAL,FLYING,0,28108284,98.97183098591549
SWELLOW,60,85,60,75,50,125,NORMAL,FLYING,0,21420324,66.11111111111111
WINGULL,40,30,30,55,30,85,WATER,FLYING,0,27912284,98.28169014084507
PELIPPER,60,50,100,95,70,65,WATER,FLYING,0,16738324,51.660493827160494
RALTS,28,25,25,45,35,40,PSYCHIC,FAIRY,0,28374260,109.13076923076923
KIRLIA,38,35,35,65,55,50,PSYCHIC,FAIRY,0,24276280,86.7
GARDEVOIR,68,65,65,125,115,80,PSYCHIC,FAIRY,0,17044340,50.129411764705885
SURSKIT,40,30,32,50,52,65,BUG,WATER,0,25703284,90.50352112676056
MASQUERAIN,70,60,62,100,82,80,BUG,FLYING,0,21703344,63.09011627906977
SHROOMISH,60,40,60,40,60,35,GRASS,,0,23895324,73.75
BRELOOM,60,130,80,60,60,70,GRASS,FIGHTING,0,23843324,73.5895061728395
SLAKOTH,60,60,60,35,35,30,NORMAL,,0,24478324,75.54938271604938
VIGOROTH,80,80,80,55,55,90,NORMAL,,0,20356364,55.92307692307692
SLAKING,150,110,80,65,65,100,NORMAL,,0,19491504,38.67261904761905
NINCADA,31,45,90,30,30,40,BUG,GROUND,0,24715266,92.91353383458646
NINJASK,61,90,45,50,50,160,BUG,FLYING,0,26789326,82.17484662576688
SHEDINJA,1,90,45,30,30,40,BUG,GHOST,0,240451,24045.0
WHISMUR,64,51,23,51,23,28,NORMAL,,0,32727332,98.57530120481928
LOUDRED,84,71,43,71,43,48,NORMAL,,0,25757372,69.23924731182795
EXPLOUD,104,91,63,91,73,68,NORMAL,,0,20546412,49.86893203883495
MAKUHITA,72,60,30,20,30,25,FIGHTING,,0,30927348,88.87068965517241
HARIYAMA,144,120,60,40,60,50,FIGHTING,,0,22576492,45.886178861788615
AZURILL,50,20,40,20,40,20,NORMAL,FAIRY,0,24467304,80.48355263157895
NOSEPASS,30,45,135,45,90,30,ROCK,,0,16336264,61.878787878787875
SKITTY,50,60,45,35,35,60,NORMAL,,0,26457304,87.02960526315789
DELCATTY,70,85,65,55,55,90,NORMAL,,0,21734344,63.18023255813954
SABLEYE,50,75,75,65,65,50,DARK,GHOST,0,13684304,45.01315789473684
MAWILE,50,85,85,55,55,50,STEEL,FAIRY,0,14605304,48.04276315789474
ARON,50,70,100,40,40,30,STEEL,ROCK,0,21145304,69.55592105263158
LAIRON,60,90,140,50,50,40,STEEL,ROCK,0,17950324,55.401234567901234
AGGRON,70,110,180,60,60,50,STEEL,ROCK,0,15700344,45.63953488372093
MEDITITE,30,40,55,40,55,60,FIGHTING,PSYCHIC,0,23163264,87.73863636363636
MEDICHAM,60,60,75,60,75,80,FIGHTING,PSYCHIC,0,19441324,60.00308641975309
ELECTRIKE,40,45,40,65,40,65,ELECTRIC,,0,24864284,87.54929577464789
MANECTRIC,70,75,60,105,60,105,ELECTRIC,,0,20351344,59.15988372093023
PLUSLE,60,50,40,85,75,95,ELECTRIC,,0,21873324,67.50925925925925
MINUN,60,40,50,75,85,95,ELECTRIC,,0,19894324,61.401234567901234
VOLBEAT,65,73,75,47,85,85,BUG,,0,19121334,57.24850299401198
ILLUMISE,65,47,75,73,85,85,BUG,,0,19121334,57.24850299401198
ROSELIA,50,60,45,100,80,65,GRASS,POISON,0,22909304,75.35855263157895
GULPIN,70,43,53,43,53,40,POISON,,0,21989344,63.92151162790697
SWALOT,100,73,83,73,83,55,POISON,,0,17056404,42.21782178217822
CARVANHA,45,90,20,65,20,65,WATER,DARK,0,34452294,117.18367346938776
SHARPEDO,70,120,40,95,40,95,WATER,DARK,0,26877344,78.13081395348837
WAILMER,130,70,35,70,35,60,WATER,,0,27280464,58.793103448275865
WAILORD,170,90,45,90,45,60,WATER,,0,24440544,44.9264705882353
NUMEL,60,60,40,65,45,35,FIRE,GROUND,0,27275324,84.1820987654321
CAMERUPT,70,100,70,105,75,40,FIRE,GROUND,0,20657344,60.049418604651166
TORKOAL,70,85,140,85,70,20,FIRE,,0,15134344,43.99418604651163
SPOINK,60,25,35,70,80,60,PSYCHIC,,0,24734324,76.3395061728395
GRUMPIG,80,45,65,90,110,80,PSYCHIC,,0,18913364,51.95879120879121
SPINDA,60,60,60,60,60,60,NORMAL,,0,21834324,67.38888888888889
TRAPINCH,45,100,45,45,45,10,GROUND,,0,26676294,90.73469387755102
VIBRAVA,50,70,50,50,50,70,GROUND,DRAGON,0,24130304,79.375
FLYGON,80,100,80,80,80,100,GROUND,DRAGON,0,18639364,51.206043956043956
CACNEA,50,85,40,85,40,35,GRASS,,0,29168304,95.94736842105263
CACTURNE,70,115,60,115,60,55,GRASS,DARK,0,26026344,75.65697674418605
SWABLU,45,40,60,40,75,50,NORMAL,FLYING,0,19430294,66.08843537414965
ALTARIA,75,70,90,70,105,80,DRAGON,FLYING,0,15297354,43.21186440677966
ZANGOOSE,73,115,60,60,60,90,NORMAL,,0,21834350,62.38285714285714
SEVIPER,73,100,60,100,60,65,POISON,,0,20591350,58.831428571428575
LUNATONE,90,55,65,95,85,70,ROCK,PSYCHIC,0,22060384,57.447916666666664
